incident_id,external_case_id,source,occurred_at,year,month,country,site,location,case_type,activity,classification_source,hazard_category,hazard_confidence,cause_category,cause_confidence,severity_level,recurrence_frequency,risk_score,risk_level_label,needs_human_review,recommendation_summary
d5e9bea7-128a-5e7f-83ab-f3a5c42cbcd8,MOCK-2025001,mock,2025-01-04,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Potential hazard,Walking / working surfaces,PH,Electrical Hazards,0.75,Procedures,0.69,Medium,0 - 14 days,50,High,true,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
bfa60dc5-758d-5764-9fbc-d9c4fe672867,MOCK-2025002,mock,2025-01-07,2025,1,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Vehicle & Traffic Hazards,0.82,Pedestrian,0.76,Low,Less often,5,Low,false,"Separate pedestrians from vehicle routes, refresh traffic markings, and audit forklift behavior."
440bae1f-92dc-5d5c-b138-4be3a6d0a5b0,MOCK-2025003,mock,2025-01-10,2025,1,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,EHS - Potential hazard,Repair & Maintenance,PH,Fire & Explosion Hazards,0.71,Personal Protective Equipment,0.65,High,6 months - 1 year,75,High,true,"Remove ignition sources, verify fire controls, and inspect flammable material storage."
3d7714ee-327a-5aed-ad98-173dcfab7da9,MOCK-2025004,mock,2025-01-13,2025,1,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,EHS - Potential hazard,Building & Property conditions,PH,Environmental Hazards,0.78,Human Factors,0.72,Very low,1 year - 5 years,2,Low,true,"Improve containment, inspect waste handling, and verify environmental controls."
418aa07c-dd40-5d64-9cb9-f9d36374ba3c,MOCK-2025005,mock,2025-01-16,2025,1,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,EHS - Potential hazard,Office work/administration,PH,Physical Hazards,0.85,Maintenance Management,0.79,Medium,14 days - 6 months,40,Medium,false,"Remove trip/slip source, improve visual marking, and verify housekeeping checks."
b0193602-8474-5028-bac6-f702fffcc490,MOCK-2025006,mock,2025-01-19,2025,1,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,EHS - Potential hazard,Manual material handling,PH,Chemical Hazards,0.74,Communication,0.68,High,0 - 14 days,125,Critical,true,"Contain spill/leak source, verify labeling, and review chemical storage controls."
20a333d6-b748-539d-9d38-4862c866909b,MOCK-2025007,mock,2025-01-22,2025,1,India,Vadodara,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",EHS - Potential hazard,Traffic,PH,Ergonomic Hazards,0.81,Workplace Design,0.75,Very high,Less often,75,High,false,"Review workstation layout, reduce repetitive strain, and adjust manual handling process."
6f8c173e-59fb-57ae-b1ed-87cc693174a5,MOCK-2025008,mock,2025-01-25,2025,1,China,Wuqing,China - Wuqing - Quanhui Road No.9,EHS - Potential hazard,Machining & Assembly,PH,Process Safety / Operational Hazards,0.7,Housekeeping,0.64,Low,6 months - 1 year,15,Medium,true,"Review energy isolation, pressure system controls, and permit-to-work process."
259b798f-8a60-5ff6-a423-e38059f7ad30,MOCK-2025009,mock,2025-01-28,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,EHS - Near miss,Walking / working surfaces,NMI,Mechanical / Equipment Hazards,0.77,Organization,0.71,Medium,1 year - 5 years,20,Medium,true,"Inspect guarding, verify lockout-tagout controls, and repair defective equipment."
228a7850-00da-562c-9b0f-fe9c8724976a,MOCK-2025010,mock,2025-01-31,2025,1,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,EHS - Potential hazard,Ergonomic,PH,Electrical Hazards,0.84,Facilities and equipment,0.78,Low,14 days - 6 months,20,Medium,false,"Isolate exposed electrical components, inspect cabinets, and verify authorized access."
