incident_id,external_case_id,year,month,country,site,location,activity,hazard_category,cause_category,severity_level,recurrence_frequency,risk_score,risk_level_label,recommendation_summary,needs_human_review
fb86b543-da38-42c5-af2c-391c457e5a46,300001,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Walking / working surfaces,Physical Hazards,Facilities and equipment,Low,14 days - 6 months,20,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
9ee3368e-bddd-4713-9a91-5e01f002b1ff,300002,2025,2,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Electrical Hazards,Workplace Design,High,Less often,25,Medium,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 30 days.,False
296c00c3-7174-4dd6-947c-6cb348069a46,300003,2025,3,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Traffic,Vehicle & Traffic Hazards,Human Factors,Medium,6 months - 1 year,30,Medium,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 30 days.,False
1b3f557f-0d35-4dee-9173-89736260b030,300004,2025,4,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Manual material handling,Chemical Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
a55959e7-eb91-4ada-9c6c-2484fee25f76,300005,2025,5,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Machining & Assembly,Mechanical / Equipment Hazards,Housekeeping,High,0 - 14 days,125,Critical,Add housekeeping checks and clear the affected area. Owner: Maintenance. Timeframe: Immediate.,True
557f667f-33d7-4a7e-adc0-0707411aa9bc,300006,2025,6,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Walking / working surfaces,Ergonomic Hazards,Housekeeping,Unknown,Less often,,Unknown,Add housekeeping checks and clear the affected area. Owner: Facilities. Timeframe: 90 days.,True
23bb9a88-5915-4ef9-98be-66b5e4e3ca54,300007,2025,7,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Electrical Hazards,Facilities and equipment,Very low,Unknown,,Unknown,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 90 days.,True
96abf481-9c48-4673-aee9-9140285460d3,300008,2025,8,China,Wuqing,China - Wuqing - Quanhui Road No.9,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,14 days - 6 months,100,High,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 7 days.,False
20a7c5e6-dfc4-4ca6-99f2-e7ad7d1f3190,300009,2025,9,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Ergonomic,Ergonomic Hazards,Human Factors,Low,14 days - 6 months,20,Medium,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 30 days.",False
d6b74f41-9e54-4823-8b49-4155c0024a43,300010,2025,10,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Repair & Maintenance,Fire & Explosion Hazards,Procedures,High,6 months - 1 year,75,High,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 7 days.,False
a8b500c2-069e-440f-b67a-a7b9c6f32743,300011,2025,11,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Process Safety / Operational Hazards,Housekeeping,Medium,Less often,10,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
5c87aaf3-d828-4d50-9045-89a69f03784e,300012,2025,12,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Building & Property conditions,Environmental Hazards,Housekeeping,High,0 - 14 days,125,Critical,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: Immediate.,True
79ca46c8-c301-4ca0-8548-7dafcbbc8c9a,300013,2025,1,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,-- Not selected --,Physical Hazards,Facilities and equipment,High,Less often,25,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
e622ffd4-f02c-4286-963e-9eccd6c48323,300014,2025,2,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Electrical Hazards,Workplace Design,High,Less often,25,Medium,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 30 days.,False
17e9c8bd-0529-4b0f-9f95-9aac7bfdbf91,300015,2025,3,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Traffic,Vehicle & Traffic Hazards,Human Factors,Very low,14 days - 6 months,4,Low,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 90 days.,False
b19c90e0-68d2-4c69-a0d2-3bd2ed7f9ec0,300016,2025,4,China,Wuqing,China - Wuqing - Quanhui Road No.9,Manual material handling,Chemical Hazards,Procedures,High,Unknown,,Unknown,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 90 days.,True
675fadba-92f1-4376-9fbb-b7fc790e8589,300017,2025,5,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Machining & Assembly,Mechanical / Equipment Hazards,Procedures,Low,6 months - 1 year,15,Medium,Update the work instruction and confirm the procedure is followed. Owner: Maintenance. Timeframe: 30 days.,False
e4ff9117-26d1-42fb-91ff-1a14969a007b,300018,2025,6,Denmark,Nordborg,Denmark - Nordborg - Nordborgvej 81,Walking / working surfaces,Ergonomic Hazards,Housekeeping,Unknown,Unknown,,Unknown,Add housekeeping checks and clear the affected area. Owner: Facilities. Timeframe: 90 days.,True
632a9672-3f44-44b1-8923-54f285d9dfa9,300018,2025,7,Poland,Grodzisk Mazowiecki,Poland - Grodzisk Mazowiecki - Ul. Chrzanowska 5,Repair & Maintenance,Electrical Hazards,Facilities and equipment,Medium,0 - 14 days,50,High,Isolate electrical exposure and complete a qualified inspection. Owner: Maintenance. Timeframe: 7 days.,False
efd0b63b-90b2-47e2-8501-34ef65091b5b,300020,2025,8,Mexico,Monterrey,Mexico - Monterrey - Carretera Miguel Aleman no. 162,Traffic,Vehicle & Traffic Hazards,Workplace Design,High,Less often,25,Medium,Separate pedestrians from mobile equipment and review traffic rules. Owner: EHS. Timeframe: 30 days.,False
f8c3d506-1048-4854-8b2d-bcfd4291bed8,300021,2025,9,United States,Tallahassee,United States - Tallahassee - 1769 East Paul Dirac Drive,Ergonomic,Ergonomic Hazards,Human Factors,High,14 days - 6 months,100,High,"Review work method, posture, load, and task rotation controls. Owner: Facilities. Timeframe: 7 days.",False
fe4faca6-c68d-42a5-9983-7d0d4bebcf81,300022,2025,10,Slovenia,Ljubljana,Slovenia - Ljubljana - Jozeta Jame 16,Repair & Maintenance,Fire & Explosion Hazards,Procedures,High,14 days - 6 months,100,High,Update the work instruction and confirm the procedure is followed. Owner: Production. Timeframe: 7 days.,False
43c218b5-466d-4bfe-b1c1-a94657816ea7,300023,2025,11,India,Vadodara_Taluka,"India - Vadodara_Taluka - E/1, GIDC - SAVLI",Repair & Maintenance,Process Safety / Operational Hazards,Housekeeping,Very low,Less often,1,Low,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 90 days.,False
0b33dc62-dff5-49d9-a9c0-a0ab971efcc8,300024,2025,12,China,Wuqing,China - Wuqing - Quanhui Road No.9,Building & Property conditions,Environmental Hazards,Housekeeping,High,6 months - 1 year,75,High,Add housekeeping checks and clear the affected area. Owner: EHS. Timeframe: 7 days.,False
67e73f30-9eb4-42c1-8b97-fc8e4e5c26d5,300025,2025,1,India,Chennai,India - Chennai - Oragadam A19/2 SIPCOT,Walking / working surfaces,Physical Hazards,Facilities and equipment,Low,14 days - 6 months,20,Medium,"Remove slip/trip exposure, improve signage, and verify housekeeping controls. Owner: Facilities. Timeframe: 30 days.",False
